#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  60 357
# Band-Index:    1
# Band-Index:    2
   1.19624    -22.990963  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   1.16963    -22.990963  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   1.14302    -22.990960  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   1.11641    -22.990956  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   1.08980    -22.990950  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   1.06319    -22.990944  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   1.03658    -22.990937  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   1.00997    -22.990930  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.98336    -22.990920  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.95675    -22.990913  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.93014    -22.990904  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.90353    -22.990896  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.87692    -22.990888  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.85031    -22.990882  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.82370    -22.990877  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.79709    -22.990873  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.77048    -22.990869  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.74387    -22.990867  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.71726    -22.990865  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.69065    -22.990866  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.69065    -22.990866  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.67734    -22.990866  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.66404    -22.990866  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.65073    -22.990867  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.63743    -22.990868  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.62412    -22.990869  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.61082    -22.990870  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.59751    -22.990870  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.58421    -22.990870  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.57090    -22.990871  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.55760    -22.990871  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.54429    -22.990873  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.53099    -22.990873  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.51768    -22.990874  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.50438    -22.990874  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.49107    -22.990874  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.47777    -22.990874  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.46446    -22.990874  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.45116    -22.990875  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.43785    -22.990876  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.43785    -22.990876  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.41481    -22.990875  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.39176    -22.990878  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.36872    -22.990881  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.34567    -22.990885  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.32263    -22.990890  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.29958    -22.990896  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.27654    -22.990902  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.25349    -22.990908  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.23045    -22.990916  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.20740    -22.990923  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.18436    -22.990930  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.16131    -22.990936  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.13827    -22.990943  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.11522    -22.990949  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.09218    -22.990953  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.06913    -22.990957  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.04609    -22.990961  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.02304    -22.990963  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.00000    -22.990963  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
 
# Band-Index:    3
   0.00000    -22.990726  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.02304    -22.990726  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.04609    -22.990725  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.06913    -22.990721  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.09218    -22.990716  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.11522    -22.990712  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.13827    -22.990706  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.16131    -22.990699  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.18436    -22.990693  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.20740    -22.990686  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.23045    -22.990679  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
